Jugador,Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
"<img src=""<img src="""" width=""50"">"" width=""50"">",Orri Óskarsson,Delantero centro,Islandia,20,Real Sociedad,"2,00 mill. €","20,00 mill. €","900,0 %","+18,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Isaac Romero,Delantero centro,España,24,Sevilla FC,400 mil €,"18,00 mill. €","4400,0 %","+17,60 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Andriy Lunin,Portero,Ucrania,25,Real Madrid CF,"8,00 mill. €","25,00 mill. €","212,5 %","+17,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Endrick,Delantero centro,Brasil,18,Real Madrid CF,"45,00 mill. €","60,00 mill. €","33,3 %","+15,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Giorgi Mamardashvili,Portero,Georgia,24,Valencia CF,"30,00 mill. €","45,00 mill. €","50,0 %","+15,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Marc Casadó,Pivote,España,21,FC Barcelona,600 mil €,"15,00 mill. €","2400,0 %","+14,40 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Johnny Cardoso,Pivote,Estados Unidos,23,Real Betis Balompié,"6,00 mill. €","20,00 mill. €","233,3 %","+14,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Logan Costa,Defensa central,Cabo Verde,23,Villarreal CF,"5,00 mill. €","18,00 mill. €","260,0 %","+13,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Thierno Barry,Delantero centro,Francia,22,Villarreal CF,"1,00 mill. €","14,00 mill. €","1300,0 %","+13,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Yáser Asprilla,Extremo derecho,Colombia,20,Girona FC,"6,00 mill. €","18,00 mill. €","200,0 %","+12,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Beñat Prados,Mediocentro,España,23,Athletic Club,"3,00 mill. €","15,00 mill. €","400,0 %","+12,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Ilias Akhomach,Extremo derecho,Marruecos,20,Villarreal CF,"3,00 mill. €","15,00 mill. €","400,0 %","+12,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Alexander Sørloth,Delantero centro,Noruega,28,Atlético de Madrid,"14,00 mill. €","25,00 mill. €","78,6 %","+11,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Rodrygo,Extremo derecho,Brasil,23,Real Madrid CF,"100,00 mill. €","110,00 mill. €","10,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Eduardo Camavinga,Mediocentro,Francia,22,Real Madrid CF,"90,00 mill. €","100,00 mill. €","11,1 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Aurélien Tchouaméni,Pivote,Francia,24,Real Madrid CF,"90,00 mill. €","100,00 mill. €","11,1 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Dani Olmo,Mediocentro ofensivo,España,26,FC Barcelona,"50,00 mill. €","60,00 mill. €","20,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Martín Zubimendi,Pivote,España,25,Real Sociedad,"50,00 mill. €","60,00 mill. €","20,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Raphinha,Extremo izquierdo,Brasil,27,FC Barcelona,"50,00 mill. €","60,00 mill. €","20,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Dani Vivian,Defensa central,España,25,Athletic Club,"20,00 mill. €","30,00 mill. €","50,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Aitor Paredes,Defensa central,España,24,Athletic Club,"12,00 mill. €","22,00 mill. €","83,3 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Pepelu,Pivote,España,26,Valencia CF,"12,00 mill. €","22,00 mill. €","83,3 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Loïc Badé,Defensa central,Francia,24,Sevilla FC,"10,00 mill. €","20,00 mill. €","100,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Beñat Turrientes,Mediocentro,España,22,Real Sociedad,"10,00 mill. €","20,00 mill. €","100,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Alberto Moleiro,Mediocentro ofensivo,España,21,UD Las Palmas,"10,00 mill. €","20,00 mill. €","100,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Mika Mármol,Defensa central,España,23,UD Las Palmas,"5,00 mill. €","15,00 mill. €","200,0 %","+10,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Joan García,Portero,España,23,RCD Espanyol,400 mil €,"10,00 mill. €","2400,0 %","+9,60 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Héctor Fort,Lateral derecho,España,18,FC Barcelona,"1,00 mill. €","10,00 mill. €","900,0 %","+9,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Enzo Boyomo,Defensa central,Camerún,23,CA Osasuna,"1,60 mill. €","10,00 mill. €","525,0 %","+8,40 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Conor Gallagher,Mediocentro,Inglaterra,24,Atlético de Madrid,"42,00 mill. €","50,00 mill. €","19,0 %","+8,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Gorka Guruzeta,Delantero centro,España,28,Athletic Club,"10,00 mill. €","18,00 mill. €","80,0 %","+8,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Hugo Duro,Delantero centro,España,25,Valencia CF,"8,00 mill. €","16,00 mill. €","100,0 %","+8,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Álvaro Djaló,Extremo izquierdo,España,25,Athletic Club,"7,00 mill. €","15,00 mill. €","114,3 %","+8,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Jon Pacheco,Defensa central,España,23,Real Sociedad,"8,00 mill. €","15,00 mill. €","87,5 %","+7,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Juanlu Sánchez,Lateral derecho,España,21,Sevilla FC,"8,00 mill. €","15,00 mill. €","87,5 %","+7,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Carlos Vicente,Extremo derecho,España,25,Deportivo Alavés,"1,20 mill. €","8,00 mill. €","566,7 %","+6,80 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Óscar Mingueza,Lateral derecho,España,25,RC Celta de Vigo,"6,00 mill. €","12,00 mill. €","100,0 %","+6,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Kirian Rodríguez,Mediocentro ofensivo,España,28,UD Las Palmas,"6,00 mill. €","12,00 mill. €","100,0 %","+6,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Kike Salas,Defensa central,España,22,Sevilla FC,"2,00 mill. €","8,00 mill. €","300,0 %","+6,00 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Jorge Herrando,Defensa central,España,23,CA Osasuna,800 mil €,"6,00 mill. €","650,0 %","+5,20 mill. €"
"<img src=""<img src="""" width=""50"">"" width=""50"">",Marc Bernal,Pivote,España,17,FC Barcelona,1.00 mill. €,5.00 mill. €,400.0 %,+4.00 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",César Tárrega,Defensa central,España,22,Valencia CF,150. mil. €,4.00 mill. €,2566.7 %,+3.85 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Arsen Zakharyan,Mediocentro ofensivo,Rusia,21,Real Sociedad,15.00 mill. €,18.00 mill. €,20.0 %,+3.00 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Santi Comesaña,Mediocentro,España,28,Villarreal CF,5.00 mill. €,8.00 mill. €,60.0 %,+3.00 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Ayoze Pérez,Extremo izquierdo,España,31,Villarreal CF,7.00 mill. €,10.00 mill. €,42.9 %,+3.00 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Peque Fernández,Mediapunta,España,22,Sevilla FC,2.00 mill. €,5.00 mill. €,150.0 %,+3.00 mill €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Willy Kambwala,Defensa central,Francia,20,Villarreal CF,2.00 mill. €,5.00 mill. €,150.0 %,+3.00 mill. €
"<img src=""<img src="""" width=""50"">"" width=""50"">",Mikel Jauregizar,Mediocentro,España,20,Athletic Club,200 mil €,3.00 mill €,1400.0 %,+2.80 mill €
